Sequence ID,Sequence Name,Owner,Category,Recommendation
69,2026 Reengage - All prospects - Mel Simms,Mel Simms,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
70,2026 Reengage - COMMERCIAL - Dave Blide,Dave Blide,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
71,2026 Reengage - Family Office - Mel Simms,Mel Simms,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
72,2026 Reengage - COMMERCIAL - Mel Simms,Mel Simms,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
100,Reengage (HT Pipeline) - Family Office - Mel Simms,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
106,Dropped SFO Member (REENGAGE) :: Wealth Owners/CEOs :: Family Members Only :: Mel Simms (Light touch),Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
116,FOX_REENG_2026_RECENT_Mel,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
117,FOX_REENG_2026_LONG_Mel,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
118,FOX_REENG_2026_LONG_Dave,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
119,FOX_PROSPECT_REENG_2026_Mel,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
120,FOX_PROSPECT_REENG_2026_Dave,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
121,FOX_PROSPECT_REENG_2026_Miguel,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
11,"Kent - Advisors Dropped and NVM Tech Showcase invitees TN, GA, KY",Jake Shulman,3 - REVIEW (regional/event reengage - your call),Targeted regional/event reengage; not a duplicate. Keep or archive after review.
12,"Kent - Family Dropped and NVM Tech Showcase invitees TN, GA, KY",Jake Shulman,3 - REVIEW (regional/event reengage - your call),Targeted regional/event reengage; not a duplicate. Keep or archive after review.
19,TRP Reengage,Harley Tobon,3 - REVIEW (regional/event reengage - your call),Targeted regional/event reengage; not a duplicate. Keep or archive after review.
64,PTC Workshop Jan 2026 - Dropped Members,Jake Shulman,3 - REVIEW (regional/event reengage - your call),Targeted regional/event reengage; not a duplicate. Keep or archive after review.
98,NEVER A MEMBER * NON-MEMEBER + Rep Mel Simms // PFCS 2026 EM#2,Jake Shulman,3 - REVIEW (regional/event reengage - your call),Targeted regional/event reengage; not a duplicate. Keep or archive after review.
99,DROPPED * NON-MEMEBER + Rep Mel Simms // PFCS 2026 EM#2,Jake Shulman,3 - REVIEW (regional/event reengage - your call),Targeted regional/event reengage; not a duplicate. Keep or archive after review.
113,Mel Los Angeles Regional Reengage,Jake Shulman,3 - REVIEW (regional/event reengage - your call),Targeted regional/event reengage; not a duplicate. Keep or archive after review.
114,Mel Denver Dropped Member Reengage Invite - FOWAF,Mel Simms,3 - REVIEW (regional/event reengage - your call),Targeted regional/event reengage; not a duplicate. Keep or archive after review.
2,FOD 2nd summer session,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
7,Harley - 2025 Tech Showcase Sponsorship Sequence,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
8,Dave- 2025 Tech Showcase Sponsorship Sequence,Dave Blide,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
10,Web Inquiry FO,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
15,Invitation to Global Family Enterprise Council,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
16,"Cold Outreach - (Validated Contacts) TN Business Owning ""without known"" FO",Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
17,Reconnect/ Snapshot of FOX members,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
18,FO membership FU,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
20,Introduction via Chris Herbert - Advisor,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
21,Introduction via Jacob Mattox,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
22,Web Inquiry- Advisor/Resource partner,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
23,UCHI Alum,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
26,Mel Simms Web Inquiry FO,Mel Simms,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
27,Adv- Continuing the Conversation,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
29,Harleys version- Dallas Dinner (Jacob M Small Regional Gathering),Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
35,Cone FF and UAE,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
38,FF F/U and FOD/FATP -- FOs,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
41,"Dave Blide Commercial {Advisor, Sponsorship, Partnership} Inbound Inquiries",Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
42,Peter CNBC Tri-State Invite Nov 13 2025,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
43,Mel Simms Family/Commercial Inbound Inquiries,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
45,Peter - MEMBERS - CNBC Tri-State Invite Nov 13 2025,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
46,FOD,Harley Tobon,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
47,Peter - GFOS London Follow up Campaign,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
49,Peter - Dubai Follow up Sequence,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
61,Miguel Lopez de Silanes {Family/Commercial INT} Inbound Inquiries,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
62,Mel - Dubai Follow up Sequence,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
63,Dave Blide Referrals,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
66,Jacob Mattox Referral Follow ups // Mel Send // CUSTOM EMAILS ONLY NO TEMPLATES,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
76,Cold Outreach :: Dave Blide - (Commercial),Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
80,MEMEBER + RM Callie Kim + Wealth Owner Family Member // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
81,MEMEBER + RM Callie Kim + Next Gen Family Member // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
82,MEMEBER + RM Callie Kim + General Family Member // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
83,MEMEBER + RM Callie Kim + FO Executive // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
84,MEMEBER + RM Miguel Lopez de Silanes + FO Executive // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
85,MEMEBER + RM Miguel Lopez de Silanes + Next Gen Family Member // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
86,MEMEBER + RM Miguel Lopez de Silanes + Wealth Owner // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
87,MEMEBER + RM Miguel Lopez de Silanes + General Family Member // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
88,MEMEBER + RM Mel Simms + Next Gen Family Member // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
89,MEMEBER + RM Mel Simms + Wealth Owner // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
90,MEMEBER + RM Mel Simms + General Family Member // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
91,MEMEBER + RM Mel Simms + FO Executive // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
92,MEMEBER + RM Peter Moustakerski + Next Gen Family Member // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
93,MEMEBER + RM Peter Moustakerski + Wealth Owner // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
94,MEMEBER + RM Peter Moustakerski + General Family Member // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
95,MEMEBER + RM Peter Moustakerski + FO Executive // PFCS 2026 EM#2,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
101,Peter and Tim PFCS Dinner Invite,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
102,Mel Simms // Proposal Stage Follow-up -> move to Finance Stage,Mel Simms,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
103,MFO's (USA) - Cold Outreach - Dave Blide,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
104,MFO's (USA) - Cold Outreach - Mel Simms,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
105,SFO's (INT & USA) - Cold Outreach- Mel Simms,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
110,Mel June FOD Strong Push (MASS SEND),Mel Simms,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
111,Dave June FOD Strong Push (MASS SEND),Dave Blide,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
112,Peter SFO Alliance Sends,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
115,Tech/Risk Showcase Kent Approved Sponsor Outreach - Dave Blide send,Jake Shulman,4 - LEAVE (separate active campaign),Different campaign (cold/FOD/sponsorship/inbound/referral/PFCS member). Do NOT archive.
